PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
24.93,None,14.47,None,5.07,0.71,45.71
21.8,None,15.14,None,5.03,1.31,46.91
23.2,None,14.31,None,4.94,1.62,51.96
28.34,None,14.16,None,4.95,0.66,46.82
23.53,None,15.32,None,4.55,0.83,43.4
14.59,None,14.92,None,5.58,0.93,38.78
15.1,None,14.12,None,5.88,1.22,42.63
15.13,None,14.87,None,4.65,1.46,38.96
18.3,None,14.55,None,4.13,1.15,48.16
22.39,None,13.8,None,5.01,1.21,44.77
21.14,None,14.28,None,3.25,0.76,63.32
23.64,None,13.56,None,5.84,1.22,69.47
22.53,None,13.62,None,5.09,1.32,53.84
94.69,None,13.43,None,7.92,1.55,53.5
27.56,None,14,None,5.25,1.73,49.23
32.73,None,14.71,None,5.42,1.06,74.24
25.06,None,14.59,None,6.47,1.59,70.14
20.22,None,14.03,None,5.07,1.01,59.48
19.05,None,13,None,5.03,0.83,70.92
63.53,None,12.32,None,5.47,2.6,48.43
65.08,None,13.09,None,3.87,1.46,59.14
40.27,None,17.24,None,5.07,1.04,66.46
11.86,None,19.07,None,3.97,1.1,28.22
None,None,21.69,None,4.95,1.36,50.94
None,None,22.18,None,4.12,1.26,57.88
None,None,15.96,None,4.18,1.4,62.15
None,None,21.81,None,4.53,1.59,42.36
None,None,19.47,None,5.31,1.48,46.76
None,None,23.33,None,5.68,0.79,47.4
None,None,21.91,None,4.78,0.87,40.29
None,None,25.71,None,4.18,0.8,41.51
None,None,22.02,None,3.37,0.77,45.31
None,None,19.99,None,3.55,0.61,54.99
None,None,22.35,None,4.07,0.73,30.22
None,None,20.86,None,3.86,0.84,58.38
None,None,21.65,None,3.99,0.82,49.22
32.25,None,27.42,None,9.96,1.05,30.99
36.13,None,21.9,None,5.99,0.78,24.26
25.32,None,13.66,None,4.62,0.55,36.23
25.51,None,15.07,None,3.61,0.91,44.16
17.33,None,15.44,None,4.09,1.14,39.48
21.31,None,16.2,None,4.94,1.04,52.13
28.68,None,13,None,5.44,0.65,25.94
26.47,None,15.21,None,3.97,0.86,11.39
30.78,None,14.71,None,4.3,0.56,10.18
12.41,None,20.24,None,3.72,0.61,21.04
0.88,None,16.8,None,4.28,0.41,21.91
15.01,None,13.37,None,5.72,0.55,52.92
24.62,None,15.41,None,3.81,0.53,50.67
25.32,None,15.51,None,4.05,0.68,None
38.36,None,14.96,None,3.16,0.71,None
24.66,None,15.02,None,3.06,0.77,9.12
31.38,None,14.71,None,2.26,0.56,15.56
38.09,None,14.19,None,3.74,0.49,23.52
69.36,None,14.84,None,3.93,0.74,24.1
42.53,None,14.73,None,3.73,0.75,23.23
18.82,None,14.41,None,2.92,0.86,18.54
23.59,None,16.63,None,4.47,0.82,19.22
36.7,None,14.26,None,2.89,1.23,16.45
34.37,None,13.18,None,3.96,0.93,17.99
42.28,None,12.43,None,3.33,0.56,21
55.24,None,12.7,None,4.69,0.92,25.68
28.71,None,16.37,None,4.98,0.97,22.48
31.27,None,14.95,None,5.19,0.56,16.46
40.63,None,15.14,None,3.57,0.5,28.84
18.07,None,13.91,None,4.38,0.36,19.72
20.65,None,13.47,None,3.32,1.42,27.34
19.75,None,11.17,None,3.57,0.45,19.01
24.62,None,14.33,None,4.57,0.55,8.02
40.04,None,14.22,None,3.51,0.65,18.2
22.62,None,12.05,None,5.1,0.59,26.64
79.75,None,13.06,None,6.14,0.82,23.07
17.86,None,20.8,None,6.02,0.71,18.34
20.52,None,18.44,None,4.78,0.74,25.25
25.61,None,20.08,None,4.1,0.68,47.76
21.49,None,15.03,None,7.54,0.53,26.44
29.19,None,16.06,None,6.1,0.63,24.76
28.06,None,15.79,None,4.27,0.86,29.52
28.4,None,14.16,None,4.83,0.72,30.95
31.66,None,16.55,None,5.92,0.8,10.14
26.53,None,14.67,None,4.52,0.53,9.67
18.72,None,13.35,None,4.13,0.58,None
21.52,None,15.38,None,4.87,0.58,15.56
22.53,None,18.08,None,4.58,0.51,10.85
16.8,None,13.8,None,3.08,0.54,14.96
21.18,None,16,None,4.81,1.24,17.71
22.2,None,16,None,4.07,0.58,18.74
21.65,None,14.49,None,4.9,0.59,25.7
19.03,None,13.69,None,4.18,0.57,26.71
21.66,None,14.79,None,5.48,0.6,23.96
24.96,None,11.56,None,9.54,1.34,20.08
24.44,None,12.37,None,9.28,1.27,22.69
15.43,None,22.46,None,9.96,0.86,22.13
21.7,None,12.62,None,12.04,0.87,23.65
14.83,None,11.74,None,7.83,0.9,8.13
11.45,None,11.25,None,4.05,0.29,12.38
18.14,None,14.62,None,5.12,0.63,18.16
21.69,None,13.06,None,12.66,0.63,15.89
34.46,None,13.55,None,53.94,0.47,10.13
37.28,None,13.04,None,4,0.35,9.98
32.76,None,13.17,None,8.85,0.56,11.44
24.81,None,14.14,None,5.66,0.57,13.93
37.01,None,13.23,None,4.69,0.51,13.63
24.3,None,22.22,None,5.48,0.53,18.85
29.08,None,24.7,None,4.97,0.39,21.49
32.98,None,14.75,None,5.6,0.48,20.46
34.56,None,13.43,None,5.76,0.54,15.9
28.77,None,15.24,None,6.55,0.58,13.67
38.04,None,16,None,4.71,0.56,12.51
37.64,None,14.87,None,4.25,0.56,9.53
27.45,None,10.54,None,4.98,0.61,13.79
23.83,None,15.02,None,4.23,0.57,7.96
29.06,None,13.68,None,4.79,0.48,9.78
27.05,None,13.93,None,8.34,0.54,10.31
31.88,None,18.81,None,5.51,1.73,12.27
40.91,None,8.42,None,5.81,1.86,12.59
29.53,None,8.98,None,6.28,1.41,12.04
34.83,None,8.85,None,5.2,1.39,11.01
43.07,None,8.5,None,5.51,1.69,20.55
27.74,None,8.63,None,4.92,1.74,16.69
25.2,None,8.68,None,5.54,2,15.39
27.29,None,8.72,None,4.87,1.09,19.77
30.44,None,8.59,None,5.22,0.56,19.5
24.99,None,8.29,None,5.2,0.73,17.79
26.39,None,8.37,None,5.9,1.59,14.49
21.06,None,8.43,None,5.45,1.86,16.83
26.92,None,8.5,None,6.05,1.9,18.92
25.96,None,9.03,None,8.45,2.31,18.11
34.84,None,7.71,None,4.68,2.15,13.01
46.13,None,13.19,None,3.91,1.76,16.21
56.93,None,13.57,None,5.41,1.61,14.53
55.14,None,12.14,None,3.48,0.72,26.33
33.5,None,11.63,None,5.03,1.3,24.75
19.22,None,10.3,None,5.34,1.2,11.56
19.9,None,10.67,None,5.32,1.54,13.56
19.81,None,12.68,None,6.2,1.45,9.75
30.87,None,12.19,None,6.27,1.23,10.64
34.78,None,12.1,None,5.77,1.11,11.89
24.49,None,11.01,None,5.67,1.1,19.37
39.94,None,17.66,None,5.77,1.21,20.37
40.93,None,25.34,None,6.67,1.34,21.54
26.38,None,28.1,None,7.74,1.29,11.94
30.74,None,23.53,None,3.28,1.35,13
98.81,None,22.25,None,2.98,1.04,17.78
23.88,None,22.05,None,2.72,0.97,11.45
24.9,None,21.4,None,4.33,0.94,20.03
25.81,None,21.61,None,6.17,1.2,23.75
24.68,None,23.53,None,5.93,1.53,15.93
22.49,None,22.83,None,6.63,1.45,11.15
22.68,None,21.78,None,5.22,1.42,9.55
21.62,None,21.88,None,6.15,1.26,8.04
21.61,None,21.2,None,5.11,0.99,12.66
21.53,None,21.15,None,5.76,0.89,10.66
21.91,None,23.37,None,7.69,1.05,15.59
24.11,None,23.83,None,6.56,0.82,10.1
60.23,None,26.62,None,10.99,1.12,9.91
54.36,None,25.16,None,5.62,1.1,18.3
62.22,None,25.31,None,5.86,0.86,11.74
61.11,None,25.19,None,5.49,1.08,11.59
50.26,None,25.41,None,8.69,1.12,8.41
40.26,None,25.92,None,5.75,1.05,11.63
67.21,None,23.48,None,5.55,0.88,20.01
56.2,None,23.44,None,19.75,1.46,16.11
50.15,None,24.08,None,16.22,0.79,13.06
118.02,None,24.3,None,15.08,0.88,9.05
146.26,None,28.63,None,18.15,1.09,10.28
72.66,None,22.29,None,18.39,1.09,10.41
28.89,None,26.27,None,9.94,1.02,17.94
14.86,None,25.07,None,5.15,1.14,9.14
37.9,None,24.63,None,7.58,1.25,9.27
32.42,None,25.06,None,8.15,1.13,12.43
44.73,None,22.38,None,7.34,1.29,15.55
73.61,None,26.28,None,8.36,1.05,11.56
112.56,None,28.92,None,7.2,1.25,23.01
102.9,None,30.31,None,4.71,1.21,33.23
100.91,None,21.94,None,5.55,1.58,33.31
119.88,None,14.87,None,5.43,1.53,32
122.65,None,16.72,None,5.39,1.25,37.95
101,None,13.15,None,4.58,1.22,35.25
103.12,None,11.85,None,5.84,1.22,26.34
60.51,None,14.96,None,9.73,1.09,25.3
36.49,None,19.24,None,3.86,0.82,15.75
38.3,None,16.19,None,7.36,0.76,15.45
24.52,None,7.36,None,6.88,0.73,12.84
24.33,None,8.95,None,10.24,0.69,5.77
55.55,None,11.5,None,7.15,0.82,12.98
