PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
12.3,None,10.59,None,2.31,0.51,16.24
23.86,None,8.49,None,5.17,0.38,21.67
13.49,None,9.32,None,3.71,0.42,15.6
100.74,None,9.91,None,3.76,0.53,17.54
24.96,None,9.4,None,2.92,0.27,6.65
25.34,None,9.08,None,2.58,0.51,18.61
27.08,None,7.52,None,3.82,0.41,19.18
26.84,None,8.27,None,3.13,0.52,18.01
23.71,None,9.41,None,1.88,0.51,18.21
18.93,None,8.51,None,2.04,0.57,15.92
15.7,None,8.11,None,2.7,0.5,15.92
22.21,None,5.57,None,1.86,0.27,22.15
22.45,None,9.54,None,1.98,0.42,22.22
30.56,None,8.7,None,2.14,0.52,16.86
26.15,None,9.23,None,4.14,0.42,31.4
32.28,None,12.12,None,6.04,0.52,16.76
26.91,None,9.19,None,3.32,0.43,22.79
28.89,None,8.79,None,3.77,0.32,14.73
30.24,None,8.69,None,2.82,0.29,14.81
27.38,None,9.31,None,2.83,0.36,18.39
28.21,None,11.77,None,3.69,0.42,15.15
22.69,None,9.65,None,4.41,0.47,20.95
26.17,None,9.15,None,5.96,0.43,26
28.15,None,9.32,None,4.36,0.43,15.45
28.76,None,6.11,None,4.35,0.48,16.3
27.12,None,6.85,None,3.61,0.3,7.96
20.91,None,6.91,None,3.5,0.47,6.1
37.98,None,14.45,None,4.6,0.72,21.91
58.97,None,8.14,None,5.26,0.42,19.35
25.1,None,4.23,None,4.93,0.42,15.67
21.76,None,4.11,None,2.46,0.42,17.22
46.91,None,3.68,None,2.85,0.35,13.12
32.38,None,3.73,None,3.87,0.35,32.27
45.31,None,4.04,None,6.64,0.43,29.11
39.56,None,4.23,None,5.86,0.47,37.42
52.91,None,3.68,None,3.41,0.39,36.78
39.5,None,5.62,None,4.49,0.31,13.14
68.69,None,4.62,None,4.31,0.39,16.87
23.85,None,3.19,None,3.22,0.28,13.76
17.24,None,6.37,None,2.67,0.21,8.35
17.31,None,1.99,None,3.31,0.29,12.7
28.02,None,8.53,None,3.47,0.33,10.67
24.78,None,10.96,None,3.45,0.34,11.94
35.96,None,13.53,None,3.68,0.36,13.58
36.16,None,11.28,None,3.47,0.35,12.61
22.31,None,11.33,None,4.11,0.32,10.39
29.61,None,10.41,None,3.15,0.21,10.79
33.45,None,11.09,None,3.94,0.31,11.1
29.1,None,12.69,None,4.66,0.14,5.15
34.35,None,14.63,None,4.8,0.19,13.06
36.2,None,12.17,None,3.24,0.18,13.05
37.03,None,15.51,None,4.41,0.2,12.07
33.65,None,13.27,None,3.42,0.25,12.77
16.44,None,9.65,None,3.35,0.22,12.03
70.48,None,11.77,None,3.7,0.23,10.24
113.83,None,12.65,None,5.74,0.19,13.79
9.26,None,8.76,None,21.47,0.19,13.39
18.17,None,9.55,None,3.63,0.32,15.72
26.85,None,10.65,None,4.49,0.22,28.34
21.12,None,10.74,None,6.02,0.3,None
18.29,None,11.1,None,3.34,0.24,None
18.36,None,13.31,None,3.72,0.26,None
35.4,None,11.43,None,3.67,0.23,36.03
26.35,None,10.46,None,3.02,0.29,None
23.04,None,10.51,None,3.26,0.34,None
25.75,None,10.67,None,4.02,0.3,None
31.2,None,10.45,None,5.09,0.43,4.44
17.22,None,10.02,None,6.6,0.19,24.8
16.27,None,9.74,None,6.93,0.39,3.5
17.92,None,10.59,None,5.17,0.13,10.5
19.04,None,10.75,None,2.26,0.17,10.88
24.99,None,13.25,None,4.17,0.21,1.16
16.9,None,16.75,None,3.91,0.2,9.88
35.74,None,16.08,None,7.51,0.24,10.14
25.61,None,15.95,None,3.8,0.24,3.03
31.88,None,15.43,None,3.99,0.26,10.81
28.79,None,15.37,None,5.16,0.31,7.84
17.85,None,15.82,None,4.41,0.48,None
23.54,None,15.58,None,3.73,0.7,None
23.89,None,15.87,None,2.62,0.42,11.09
34.14,None,15.69,None,3.07,0.23,8.98
57.93,None,15.79,None,3.64,0.2,8.77
64.92,None,15.75,None,3.74,0.3,9.04
61.57,None,15.64,None,5.04,0.18,8.12
36.42,None,15.81,None,3.29,0.45,9.24
30.29,None,15.82,None,3.59,0.27,6.44
57.04,None,15.81,None,6.58,0.2,10.31
71.96,None,15.23,None,15.39,0.27,7.25
70.3,None,15.97,None,8.63,0.47,7.83
47.12,None,16.72,None,7.17,0.26,7.3
43.31,None,15.97,None,2.87,0.34,8.31
26.88,None,13.42,None,7.04,0.31,8.51
25.95,None,13.31,None,2.3,0.31,7.57
12.79,None,13.08,None,9.24,0.57,7.69
18.55,None,13.18,None,5.14,1,8.06
52.62,None,12.66,None,5.93,1,11.34
54.12,None,12.75,None,6.79,1,7.75
58.84,None,12.71,None,7.46,1,7.89
57.23,None,12.88,None,6.22,1,9.6
18.67,None,13.16,None,6.59,0.65,7.71
25.29,None,13.3,None,8.7,0.39,8.2
47.71,None,15.04,None,29.17,0.83,14.06
42.13,None,18.4,None,26.61,1,7.91
24.15,None,12.89,None,6.62,0.63,5.19
34.51,None,11.48,None,4.36,0.73,8.55
21.36,None,11.32,None,4.36,0.74,8.42
16.91,None,11.21,None,4.37,0.74,6.1
21.05,None,11.6,None,4.35,0.74,4.19
21.01,None,11.27,None,4.4,0.74,5.97
21.04,None,11.26,None,4.37,0.73,7.68
25.31,213.53,12.5,None,6.22,0.72,11.98
34.73,46.69,7.78,None,12.51,0.69,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
30.84,139.94,None,None,12.53,0.68,None
21.25,49.39,5.32,None,7.89,0.72,10.71
21.01,None,21.34,None,4.36,0.73,6.94
20.89,None,12.83,None,4.37,0.73,12.72
26.44,None,11.7,None,4.36,0.73,9.53
36.74,None,9.5,None,4.39,0.73,4.18
16.72,None,5.32,None,4.38,0.73,7.02
9.91,None,13.65,None,4.39,0.74,4.19
9.14,None,5.57,None,4.36,0.73,6.52
7.48,None,3.99,None,4.37,0.73,7.91
7.66,None,4,None,4.41,0.73,9.24
16.25,None,5.62,None,4.37,0.74,8.02
20.84,None,6.96,None,4.41,0.74,8.59
24.9,None,7.94,None,4.36,0.73,7.61
30.81,None,None,None,4.35,0.73,3.88
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
44.25,None,11.95,None,13.78,1.25,10.44
46.47,None,14.64,None,8.26,1.04,6.96
30.4,None,18.78,None,8.24,0.7,8.93
37.05,None,18.4,None,8.21,0.7,7.7
42.22,None,19.98,None,8.23,0.7,7.48
47.58,None,22.59,None,8.23,0.7,8.59
44.6,None,25.13,None,8.25,0.7,8.46
43.84,None,27.86,None,8.19,0.7,8.26
48.6,None,33.9,None,8.22,0.7,7.71
45.65,None,11.01,None,8.26,0.69,11.19
65.72,None,11.29,None,8.27,0.7,3.9
38.18,None,11.29,None,8.24,0.7,8.21
49.41,None,11.29,None,8.23,0.7,8.6
43.01,None,11.29,None,8.24,0.7,8.03
24.22,None,11.29,None,8.22,0.7,12.82
19.61,None,11.3,None,8.22,0.7,8.45
20.47,None,11.3,None,8.24,0.7,8.78
21.25,None,11.29,None,8.21,0.7,8.71
19.56,None,11.3,None,8.22,0.7,5.1
15.26,None,11.28,None,8.21,0.7,6.89
14.11,None,11.28,None,8.21,0.7,8.55
7.81,None,11.29,None,8.21,0.7,1.83
9.13,None,13.2,None,7.64,0.7,7.44
15.77,None,13.7,None,6.55,0.7,7.72
21.89,None,11.3,None,6.58,0.7,7.49
39.71,None,11.29,None,6.58,0.7,8.63
53.3,None,11.29,None,6.6,0.7,9.09
52.05,None,11.3,None,6.56,0.7,9.29
48.36,None,11.29,None,6.55,0.7,10.58
78.43,None,12.57,None,8.87,0.75,7.73
62.58,None,11.3,None,8.24,0.7,9.83
67.06,None,11.29,None,8.2,0.7,9.37
55.13,None,11.28,None,8.22,0.7,9.63
48.67,None,11.29,None,8.21,0.7,9.31
73.34,None,11.27,None,8.24,0.7,11.17
68.29,None,11.3,None,8.19,0.7,9.83
78.54,None,11.31,None,8.24,0.7,7.59
45.74,None,11.3,None,8.23,0.7,5.19
21.65,None,11.28,None,8.24,0.7,4.34
25.63,None,11.27,None,8.22,0.7,5.9
27.12,None,11.29,None,8.23,0.7,7.99
26,None,11.28,None,8.25,0.7,5.62
31.23,None,11.29,None,8.24,0.7,8.23
37.24,None,13.09,None,9.55,0.7,12.31
47.09,None,14.22,None,10,0.7,11.47
39.29,None,12.41,None,8.27,0.7,13.8
35.83,None,12.41,None,8.25,0.7,16.09
45.11,None,12.39,None,8.22,0.7,12.59
45.04,None,11.77,None,5.87,0.7,10.2
44.98,None,11.3,None,4.1,0.7,13.57
45.02,None,11.29,None,4.09,0.7,19.93
34.92,None,11.3,None,4.12,0.7,13.3
60.59,None,11.28,None,4.11,0.7,16.81
75.51,None,11.3,None,4.14,0.7,17.68
98.21,None,11.28,None,4.12,0.7,11.49
52.7,None,11.3,None,4.07,0.7,17.11
62.94,None,11.3,None,4.12,0.7,19.94
68.14,None,11.28,None,4.11,0.7,13.62
37.87,None,11.27,None,4.1,0.7,9.28
44.68,None,11.3,None,4.11,0.7,13.78
41.65,None,11.28,None,4.12,0.7,7.72
42.52,None,11.28,None,4.11,0.7,5.41
40.52,None,11.29,None,4.1,0.7,8.02
46.93,None,11.28,None,4.13,0.7,10.31
61.99,None,11.28,None,4.1,0.7,7.78
58.55,None,11.31,None,4.12,0.7,13.45
59.61,None,11.28,None,4.11,0.7,11.58
22.96,None,11.28,None,4.12,0.7,13.22
13.75,None,11.29,None,4.12,0.7,21.05
28.94,None,21.91,None,4.11,0.7,10.84
57.12,None,49.24,None,9.39,0.7,10.02
36.89,None,40.71,None,20.75,0.7,6.45
42.67,None,7.89,None,21.46,0.7,7.63
42.47,None,8.71,None,24.53,0.7,6.78
27.6,None,15.14,None,25.89,0.7,4.3
23.78,None,5.24,None,27.72,0.7,5.43
25.36,None,5.37,None,29.28,0.7,4.97
36.1,None,5.95,None,27.12,0.7,4.92
55.96,None,6.88,None,30.78,0.7,6.68
84.72,None,5.08,None,33.51,0.7,5.85
38.6,None,10.17,None,31.28,0.7,6.92
39.86,None,5.79,None,30.91,0.7,4.9
95.47,None,4.52,None,32.76,0.7,5.35
43.95,None,5.28,None,31.5,0.7,3.41
61.83,None,4.75,None,33.17,0.7,4.45
33.77,None,5.82,None,32.42,0.7,4.67
14.39,None,4.07,None,28.24,0.7,4.54
26.06,None,4.95,None,29.58,0.7,4.42
86.69,None,4.94,None,29.04,0.7,6.04
49.33,None,6.44,None,30.06,0.7,5.41
28.99,None,6.3,None,29.89,0.7,7.54
23.57,None,7.61,None,30.33,0.7,6.26
30.39,None,7.69,None,34.03,0.7,3.8
41.38,123.43,7.63,7.73,30.98,0.68,9.96
40.26,184.79,8.44,12.42,28.78,0.7,8.61
71.79,189.98,7.4,8.88,31.48,0.7,7.12
39.76,160.47,7.05,8.2,30.19,0.7,7.71
37.76,142.78,9.94,14.68,29.88,0.7,4.75
41.07,160.8,7.41,6.92,29.54,0.7,6.96
65.14,170.07,8.98,1.58,24.2,0.7,6.91
52.85,144.96,8.47,3.41,25.95,0.7,12.62
43.93,130.9,9.29,2.13,25.64,0.7,10.81
39.97,97.64,9.43,8.39,28.48,0.7,5.11
None,None,16.08,17.84,28.02,0.7,3.58
None,None,None,None,None,None,None
None,None,None,None,None,None,None
31.27,102.25,6.7,9.77,28.08,0.7,14.31
29.35,80.33,5.91,10.15,26.55,0.7,11.63
44.96,101.19,7.49,10.82,26.8,0.7,15.06
47.1,106.75,5.6,10.11,27.05,0.7,10.16
35.62,88.55,5.48,12.58,28.01,0.7,9.09
2.46,98.07,5.64,14.02,26.71,0.7,7.99
None,76.73,5.26,12.7,29.4,0.7,12.15
None,90.16,6.06,12.57,28.39,0.7,8.96
None,105.55,6.39,4.47,32.8,0.7,7.75
43.36,88.29,7.03,5.42,32.56,0.7,6.62
41.82,83.63,5.96,12.92,35.77,0.7,3.61
38.17,70.14,3.63,15.85,37.78,0.7,2.44
20.95,39.34,3.5,9.65,33.5,0.7,4
9.81,48.26,3.78,4.11,39.27,0.7,3.29
13.82,49.38,6.17,9.01,44.81,0.7,2.96
19.18,35.39,6.2,6.6,44.24,0.7,6.72
38.94,None,5.45,12.36,38.27,0.7,5.27
24.77,52.91,5.72,9.77,36.3,0.7,6.76
17.94,35.76,5.9,6.97,37.31,0.7,5.02
30.03,60.05,None,None,38.86,0.7,9.52
31.8,63.22,5.12,13.29,40.47,0.7,5.69
24.32,48.64,5.54,15.82,37.69,0.7,9.98
23.25,46.51,4.33,13.74,36.81,0.7,7.42
26.04,52.07,5.27,10.59,35.62,0.7,6.16
29.07,58.15,6.11,11.97,38.83,0.7,5.82
25.86,51.71,3.7,13.58,39.04,0.7,6.7
34.19,68.39,3.49,14,39.31,0.7,12.31
32.35,64.7,5.45,12.27,36.95,0.7,15.92
35.72,71.43,6.17,12.93,35.73,0.7,10.5
32.45,64.91,5.63,9.57,38.54,0.7,8.21
24.1,48.21,4.39,11.22,45.13,0.7,13.35
19.88,39.77,3.97,15.89,46.1,0.7,21.27
9.83,19.67,2.22,13.28,42.34,0.7,22.34
12.5,25.01,3.43,13.94,41.99,0.7,43.35
15.28,30.57,3.48,14.47,45.15,0.7,20.46
15.48,30.96,3.32,13.1,44.94,0.7,37.36
13.09,26.18,3.76,10.05,48.69,0.7,33.08
10.7,21.41,3.15,15.19,50.55,0.7,66.47
13.39,26.74,3.93,21.35,50.9,0.7,24.19
14.15,28.54,4.77,20.79,52.5,0.7,22.34
9.95,19.88,2.73,18.76,23.96,0.7,2.39
10.79,21.57,3.65,22.1,7.98,0.7,4.68
13.22,26.46,3.09,21.78,17.84,0.7,2.34
13.02,26,2.41,7,3.83,0.7,21.15
14.61,29.22,2.56,6.57,2.69,0.7,20.42
13.99,27.82,2.94,6.72,2.74,0.7,14.95
13.15,26.3,2.55,4.02,4.37,0.7,12.25
16.82,33.63,3.32,9.82,4.76,0.7,18.85
18.74,37.47,2.41,7.15,5.17,0.7,29.45
16.52,33.05,2.13,9.11,5.2,0.7,30.8
16.78,33.56,4.59,12.41,6.09,0.7,26.64
15.54,30.92,5.34,8.43,7.36,0.7,20.32
19.28,38.55,5.83,11.36,12.2,0.7,14.86
24.34,48.63,6.65,18.93,14.61,0.7,12.64
25.23,50.17,5.88,22.99,21.09,0.7,38.94
30.42,60.84,5.97,26.88,22.57,0.7,15.53
24.75,49.5,5.42,39.46,56.43,0.7,15.54
29.25,58.51,4.9,42.4,72.15,0.7,11.1
29.76,59.51,4.59,38.36,65.14,0.7,14.96
30.94,61.88,5.62,42.46,80.52,0.7,13.85
23.15,46.29,5.98,40.33,72.03,0.7,17.79
18.4,36.81,4.75,41.98,77.13,0.7,11
20.3,40.59,5.04,43.18,90.63,0.7,14.08
20.54,41.09,5.08,38.84,86.64,0.7,12.35
20.39,40.78,3.63,21.67,31.8,0.7,14.32
15.7,31.39,2.73,13.06,18.67,0.7,8.39
16.08,32.16,2.71,10.49,18.42,0.7,20.14
15.61,31.22,3.04,8.79,17.06,0.7,23.29
21.21,42.43,4.38,9.29,16.84,0.7,20.77
19.15,38.3,4.93,8.33,18.97,0.7,12.07
24.22,48.43,5.04,9.24,17.53,0.7,11.93
20.1,40.19,4.64,9.94,17.56,0.7,2.53
27.6,55.19,5.02,10.22,17.57,0.7,0.68
26.23,52.86,5.56,15.27,26.43,0.7,11.5
12.67,25.3,3.28,11.05,0.42,0.7,16.04
18.6,37.2,6,13.52,3.91,0.7,8.09
25.77,51.55,5.4,12.53,6.1,0.7,12.01
38.24,76.42,7.84,11.92,8.63,0.7,11.47
44.83,90.04,5.92,16.25,10.27,0.7,14.52
48.53,97.06,5.46,27.91,26.97,0.7,10.12
50.73,101.85,6.61,32.97,26.84,0.7,9.87
44.86,89.71,4.69,40.38,63.15,0.7,6.32
41.34,82.68,8.53,50.5,93.56,0.7,8.5
41.79,83.13,6.23,26.06,30.92,0.7,16.74
46.41,92.82,6.49,18.32,6.84,0.7,21.5
34.39,69.1,6.49,11.78,9.45,0.7,10.5
39.01,89.87,10.45,11.53,10.06,0.69,27.13
45.62,91.23,6.92,12.85,0.7,0.7,48.12
20.43,40.87,5.86,9.9,0.08,0.7,35.03
26.69,52.96,9.05,11.8,11.27,0.7,30.37
30.51,61.01,5.25,7.07,0.01,0.7,21.17
27.34,54.12,4.87,7.57,127.87,0.69,9.68
21.97,43.93,6.6,7.58,19.56,0.7,7.36
27.44,55.13,9.64,11.75,28.36,0.7,19.5
23.12,46.24,7.47,10.99,32.57,0.7,15.42
25.18,50.37,6.63,10.62,44.25,0.7,21.87
16.92,33.84,6.04,9.08,43.79,0.69,5.59
29.84,59.68,7.58,10.57,50.14,0.7,4.07
23.79,47.45,6.25,9.14,30.12,0.7,4.91
28.11,56.19,6.53,9.67,9.28,0.7,15.46
17.22,34.45,0.02,None,9.71,0.7,29.57
19.51,39.02,None,None,10.15,0.7,11.56
15.84,31.67,None,None,10.19,0.7,13.76
26.31,52.63,None,None,10.16,0.7,9.13
34.01,68.02,None,None,10.35,0.7,5.97
26.09,52.18,None,None,10.34,0.7,1.73
16.44,32.59,13.99,15,10.35,0.7,16.68
26.38,52.75,14.01,15,10.57,0.7,6.96
15.91,31.81,14.03,15,10.69,0.69,4.95
None,None,None,None,None,None,None
20.78,41,14.01,15,10.93,0.7,13.26
23.64,47.02,14.02,15,10.87,0.7,15.87
26.23,52.03,14.02,15.01,10.53,0.7,16.98
31.96,63.97,14.01,15,10.73,0.7,6.41
29.7,59.38,13.12,15.01,10.86,0.7,0.78
29.8,59.47,11.48,15,10.87,0.7,7.65
23.98,47.94,11.48,15,10.97,0.7,8.54
19.37,38.08,11.5,14.99,11.16,0.7,17.31
23.14,45.45,11.47,15.01,11.87,0.7,11.4
34.52,69.04,11.49,15.01,12.39,0.7,9.18
30.77,61.29,11.47,14.99,12.39,0.7,10.05
34.82,69.64,11.49,15,12.53,0.7,6.99
25.89,51.86,11.48,15.02,12.43,0.7,6.63
21.61,43.22,11.47,15,12.44,0.7,5.87
24.13,48.26,11.47,15,12.43,0.7,11.12
22.92,45.84,11.48,14.99,12.46,0.7,6.84
25.85,51.7,11.48,14.99,12.61,0.7,6.59
30.91,62.04,11.47,15,12.76,0.7,10.06
27.57,55.45,11.49,15,12.45,0.7,9.28
24.18,48.35,11.48,15,12.41,0.7,10.42
27.91,55.82,11.47,15,12.79,0.7,7.82
24.69,49.21,11.47,15,10.83,0.7,11.8
14.08,28.16,11.47,15,7.64,0.7,5.63
26.05,52.1,11.48,14.99,7.75,0.7,4.15
25.3,50.59,11.48,15.02,7.67,0.7,3.72
31.06,62.13,11.48,14.99,8.24,0.7,4.03
30.07,60.63,11.47,14.99,8.27,0.7,4.54
29.36,58.68,11.47,15,8.24,0.7,3.67
36.04,72.08,11.46,14.99,9.01,0.7,3.81
30.74,61.49,11.48,15,10.71,0.7,3.25
27.93,55.64,11.49,15.01,11.43,0.7,2.02
25.46,50.49,11.48,14.99,11.45,0.7,1.8
24.87,49.67,11.46,15.01,11.52,0.7,2
24.78,49.6,11.46,14.99,11.52,0.7,14.03
24.85,49.78,11.51,15.01,11.84,0.7,1.14
24.79,49.64,11.47,14.99,11.87,0.7,0.71
31.8,63.6,11.48,15.01,12.23,0.7,3.51
25.05,50.09,11.48,15,12.43,0.7,0.95
26.69,53.36,11.49,14.99,12.74,0.7,5.05
23.3,46.53,11.5,15,11.66,0.7,4.54
17.07,34.14,11.47,14.99,11.64,0.7,3.98
15.66,31.33,11.48,14.99,14.6,0.7,3.79
21.57,43.14,11.47,14.98,61.85,0.69,0.62
25.66,51.24,11.49,15.01,79.2,0.7,0.25
36.94,73.88,11.48,14.99,50.07,0.72,0.21
31.79,63.58,11.48,14.99,19.46,0.71,10.33
22.06,44.12,11.49,15,20.46,0.71,12.75
24.4,48.8,12.72,15,22.41,0.71,22.62
24,48.23,14.04,15.01,23.34,0.71,33.41
29.67,59.34,13.99,15,20.69,0.72,11.24
20.96,41.92,14,14.99,19.97,0.71,9.92
25.97,51.94,13.99,15,20.89,0.71,8.1
24.23,48.46,14,15.01,21.07,0.71,11.02
24.62,49.24,14.01,14.99,18.87,0.71,6.2
25.12,50.35,14.02,15,17.95,0.71,11.16
24.75,49.5,14,14.99,17.73,0.71,10.05
24.12,48.23,14,14.99,17.63,0.71,8.45
25.65,51.21,14,15,17.24,0.71,8.92
28.64,57.29,13.99,14.99,16.07,0.71,13.62
30.32,60.33,13.99,15,15.51,0.71,17.73
35.23,70.46,14.03,15,15.46,0.71,15.38
29.23,58.53,14.01,15,14.78,0.71,8.74
27.39,54.78,14.01,15,14.1,0.7,13.16
22.25,44.5,14,15.01,13.77,0.71,13.21
25.57,51.2,14,14.99,14.97,0.71,9.63
21.78,43.78,14,15,19.06,0.71,77.57
33.23,66.47,14.01,15,11.95,0.71,1.77
37.72,75.39,13.97,15.01,12.93,0.71,4.08
30.08,60.42,14.01,14.99,12.2,0.71,1.79
20.6,41.07,13.97,15.01,12.11,0.71,0.88
23.07,46.14,14,14.99,12.26,0.71,2.04
27.69,55.72,14.02,14.99,12.33,0.7,3.9
34.21,68.43,14.01,15.01,11.73,0.71,10.7
37.47,75.24,13.99,15,13.18,0.71,28.53
17.84,35.68,13.99,15.01,23.71,0.7,2.35
13,26.03,14.01,15,19.3,0.7,4.56
9.47,18.99,14,15,9.98,0.71,1.96
14.11,28.34,13.97,15,11.64,0.71,2.44
11.65,23.32,14.01,15,16.88,0.71,3.33
16.21,31.95,14,15,14.95,0.71,3.27
18.51,36.96,14.02,15.01,14.84,0.71,4.37
20.81,41.87,13.67,15.98,14.71,0.71,3.75
17.89,35.37,12.87,18.29,12.81,0.71,4.76
21.46,43.01,13.07,18.79,13.6,0.71,10.57
28.13,56.26,12.99,18.52,13.88,0.71,12.6
20.13,40.26,13.04,18.5,14.5,0.71,17.91
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
None,None,None,None,None,None,None
41.11,82.63,13.22,18.2,13.59,0.74,11.27
37.01,74.48,13.04,18.25,12.85,0.72,11.15
32.72,65.15,13.06,18.5,12.69,0.71,10.72
20.81,41.62,12.69,18.34,12.82,0.71,8.92
19.15,38.16,12.95,17.71,12.42,0.7,8.68
21.68,43.36,13.01,18.58,12.48,0.72,9.48
38.76,78.05,12.89,16.96,13.46,0.72,10.75
53.29,106.6,13.08,18.22,17.02,0.71,11.74
61.97,123.94,13.01,18.29,16.24,0.73,13.72
54.54,109.61,21.32,25.53,17.44,0.72,15.66
53.9,73.28,20.44,45.25,21.87,0.72,0.79
30.04,43.91,16.71,42.3,23.59,0.71,10.7
21.22,42.44,19.46,37.69,24.3,0.71,0.85
12.16,24.32,19.49,36.3,23.67,0.71,7.33
15.69,31.57,15.46,37.13,25.45,0.72,9.37
27.82,54.47,17.03,32.64,15.24,0.79,8.6
56.5,74.16,22.45,31.41,18.59,1.27,10.87
41.64,65.54,26.16,25.31,27.37,0.99,8.65
17.48,42,33.69,28.85,5.81,1.05,11.17
15.66,39.1,39.55,21.98,2.68,0.95,23.17
43.58,82.05,30.95,16.84,7.32,1.03,6.93
31.6,63.62,14.94,23.28,4.55,1.15,8.7
31.31,63.16,12.41,34.02,16.57,0.88,13.44
33.45,66.22,7.6,23.97,7.28,0.85,23.41
10.25,30.79,10.67,15.59,27.28,1.08,12.52
17.67,42.09,11.15,13.2,46.87,1.45,10.41
16.08,39.74,9.95,14.4,66.53,1.35,7.26
14.53,37.36,5.09,38.47,43.82,1.11,10.12
16.25,39.99,6.8,61.17,41.89,0.84,12.83
14.23,36.9,6.57,31.17,21.15,0.57,12.14
8.33,27.85,9.5,42.53,16.34,0.4,14.66
8.35,27.84,6.18,28.9,16.23,0.57,11.21
10.02,30.42,6.98,30.41,18.91,0.67,10.72
11.35,32.46,11.6,41.06,18.27,0.59,17.78
14,36.55,4.4,35.27,21.71,0.85,14.84
13.52,35.81,6.85,16.89,22.37,0.66,11.59
16.07,39.72,7.16,16.79,22.59,0.69,10.96
17.87,42.49,8.66,12.6,19.38,0.56,13.86
11.5,32.68,16.04,16.9,21.05,0.54,66.31
12.39,34.04,28.73,20.88,18.74,0.47,62.65
7.37,26.34,None,None,18.92,0.46,67.51
8.47,28.03,13.05,26,21.21,0.55,80.42
13.6,36.1,10.97,13.19,23.62,0.53,67.11
23.4,50.89,16.56,19.21,18.65,0.47,14.3
26.18,55.26,18.33,15.6,19.07,0.66,21.75
26.36,55.56,17.18,15.18,19.08,0.7,20.96
22.05,48.92,17.21,15.37,18.78,0.69,37.43
30.49,61.91,17.89,23.04,23.11,0.83,13.93
32.54,65.06,11.63,13.76,20.81,0.73,14.42
25.72,54.56,13.36,17.09,23.69,0.76,14.83
17.11,41.33,14.43,13.2,22.62,0.71,14.55
None,None,None,None,None,None,None
19.73,45.36,14.75,18.26,19.09,0.59,13.87
15.62,39.04,11.74,15.29,20.23,0.5,16.2
11,31.9,12.36,15.39,19.52,0.47,23.9
14.65,37.54,12.69,14.72,20.18,0.52,20.37
21.16,47.58,12.53,13.69,18.64,0.57,28.46
30.4,61.76,17.31,14.81,20.4,0.55,36.59
36.14,70.6,18.5,15.51,20.67,0.62,42.19
33.92,67.19,19.91,16.87,22.52,0.59,38.24
32.98,65.75,18.54,15.44,22.57,0.53,46.69
25.47,54.19,19.55,15.66,26.93,0.57,46.95
28.64,59.07,20.23,18.24,23.79,0.68,42.23
30.62,62.12,21.15,20.26,25.79,0.7,47.89
30.32,61.65,23.92,32.87,30,1.08,54.45
30.5,61.92,23.11,23.42,37.13,0.82,57.53
28.59,58.99,17.04,20.53,29.11,0.69,41.61
50.16,92.17,17.26,23.13,30.17,0.74,47.58
47.39,87.91,16.23,21.76,27.79,0.73,41.32
45.46,84.95,14.05,18.36,28.19,0.6,37.09
36.62,71.34,14.48,17.81,24.19,0.6,31.92
37.28,72.35,14.23,17.01,25.88,0.58,24.26
34.38,67.9,11.67,16.24,25.21,0.45,39.07
29.75,60.77,83.09,96.6,34.89,1.48,12.82
26.55,55.84,40.7,94.38,30.41,1.84,16.81
26.07,55.11,39.69,72.98,33.01,1.56,17.8
40.05,76.61,23.29,49.13,39.87,1.68,25.91
47.55,88.09,18.99,55.16,45.62,1.31,37.28
44.18,82.98,18.11,99.61,50.42,1.58,24
32.72,65.33,15.5,69.28,52.02,1.33,25.54
27.35,57.07,14.72,29.22,52.37,1.13,21.71
22.39,49.44,19.24,30.65,48.65,1.25,22.44
17.24,41.52,8.85,17.24,44.12,1.46,24.05
21.18,47.61,12.83,18.19,42.97,1.47,21.15
24.56,52.79,12.33,20.52,42.86,1.46,15.13
22.24,49.21,10.96,17.55,40.41,1.27,11.51
30.82,62.41,10,15.26,39.12,1.39,12.53
15.89,39.45,8.55,13.63,35.59,1.05,12.49
15.92,39.49,8.89,14.4,34.83,1.4,15.84
12.36,34.04,6.12,11.52,31.35,1.67,20.44
15.84,39.37,12.73,15.75,31.56,1.48,20.35
33.21,66.19,17.02,35.96,35.38,1.28,24.55
45.71,85.33,19.04,26.61,39.01,1.15,29.27
44.91,84.09,17.82,22.03,39.84,1.48,39.35
45.91,85.63,14.61,29.57,38.07,1.34,37.31
41.02,78.11,11.59,15.76,33.04,1.68,33.69
33.43,66.43,5.92,11.66,30.2,1.45,36.55
26.43,55.67,15.45,16.23,31.16,1.48,21.84
32.97,65.72,12.64,22.02,36.44,1.46,18.7
22.72,49.95,10.07,15.37,31.66,1.54,15.69
23.67,51.43,10.73,15.65,31.38,1.74,17.31
45.22,84.57,16.72,14.82,29.31,1.29,30.3
66.91,117.94,18.98,17.95,30.6,1.4,28.93
None,None,None,None,None,None,None
None,None,None,None,None,None,None
46.37,86.39,16.54,18.18,33.78,1.66,38.47
