,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
138,23.53,213.53,15.32,7.73,4.55,0.83,43.4
139,14.59,213.53,14.92,7.73,5.58,0.93,38.78
140,15.1,213.53,14.12,7.73,5.88,1.22,42.63
141,15.13,213.53,14.87,7.73,4.65,1.46,38.96
142,18.3,213.53,14.55,7.73,4.13,1.15,48.16
143,22.39,213.53,13.8,7.73,5.01,1.21,44.77
144,21.14,213.53,14.28,7.73,3.25,0.76,63.32
145,23.64,213.53,13.56,7.73,5.84,1.22,69.47
146,22.53,213.53,13.62,7.73,5.09,1.32,53.84
147,94.69,213.53,13.43,7.73,7.92,1.55,53.5
148,27.56,213.53,14.0,7.73,5.25,1.73,49.23
149,32.73,213.53,14.71,7.73,5.42,1.06,74.24
150,25.06,213.53,14.59,7.73,6.47,1.59,70.14
151,20.22,213.53,14.03,7.73,5.07,1.01,59.48
152,19.05,213.53,13.0,7.73,5.03,0.83,70.92
153,63.53,213.53,12.32,7.73,5.47,2.6,48.43
154,65.08,213.53,13.09,7.73,3.87,1.46,59.14
155,40.27,213.53,17.24,7.73,5.07,1.04,66.46
156,11.86,213.53,19.07,7.73,3.97,1.1,28.22
157,45.185,213.53,21.69,7.73,4.95,1.36,50.94
158,39.07,213.53,22.18,7.73,4.12,1.26,57.88
159,26.064999999999998,213.53,15.96,7.73,4.18,1.4,62.15
160,11.86,213.53,21.81,7.73,4.53,1.59,42.36
161,13.899,213.53,19.47,7.73,5.31,1.48,46.76
162,15.937999999999999,213.53,23.33,7.73,5.68,0.79,47.4
163,17.977,213.53,21.91,7.73,4.78,0.87,40.29
164,20.016,213.53,25.71,7.73,4.18,0.8,41.51
165,22.055,213.53,22.02,7.73,3.37,0.77,45.31
166,24.094,213.53,19.99,7.73,3.55,0.61,54.99
167,26.133000000000003,213.53,22.35,7.73,4.07,0.73,30.22
168,28.172,213.53,20.86,7.73,3.86,0.84,58.38
169,30.211000000000002,213.53,21.65,7.73,3.99,0.82,49.22
170,32.25,213.53,27.42,7.73,9.96,1.05,30.99
171,36.13,213.53,21.9,7.73,5.99,0.78,24.26
172,25.32,213.53,13.66,7.73,4.62,0.55,36.23
173,25.51,213.53,15.07,7.73,3.61,0.91,44.16
174,17.33,213.53,15.44,7.73,4.09,1.14,39.48
175,21.31,213.53,16.2,7.73,4.94,1.04,52.13
176,28.68,213.53,13.0,7.73,5.44,0.65,25.94
177,26.47,213.53,15.21,7.73,3.97,0.86,11.39
178,30.78,213.53,14.71,7.73,4.3,0.56,10.18
179,12.41,213.53,20.24,7.73,3.72,0.61,21.04
180,0.88,213.53,16.8,7.73,4.28,0.41,21.91
181,15.01,213.53,13.37,7.73,5.72,0.55,52.92
182,24.62,213.53,15.41,7.73,3.81,0.53,50.67
183,25.32,213.53,15.51,7.73,4.05,0.68,36.635
184,38.36,213.53,14.96,7.73,3.16,0.71,41.833333333333336
185,24.66,213.53,15.02,7.73,3.06,0.77,9.12
186,31.38,213.53,14.71,7.73,2.26,0.56,15.56
187,38.09,213.53,14.19,7.73,3.74,0.49,23.52
188,69.36,213.53,14.84,7.73,3.93,0.74,24.1
189,42.53,213.53,14.73,7.73,3.73,0.75,23.23
190,18.82,213.53,14.41,7.73,2.92,0.86,18.54
191,23.59,213.53,16.63,7.73,4.47,0.82,19.22
192,36.7,213.53,14.26,7.73,2.89,1.23,16.45
193,34.37,213.53,13.18,7.73,3.96,0.93,17.99
194,42.28,213.53,12.43,7.73,3.33,0.56,21.0
195,55.24,213.53,12.7,7.73,4.69,0.92,25.68
196,28.71,213.53,16.37,7.73,4.98,0.97,22.48
197,31.27,213.53,14.95,7.73,5.19,0.56,16.46
198,40.63,213.53,15.14,7.73,3.57,0.5,28.84
199,18.07,213.53,13.91,7.73,4.38,0.36,19.72
200,20.65,213.53,13.47,7.73,3.32,1.42,27.34
201,19.75,213.53,11.17,7.73,3.57,0.45,19.01
202,24.62,213.53,14.33,7.73,4.57,0.55,8.02
203,40.04,213.53,14.22,7.73,3.51,0.65,18.2
204,22.62,213.53,12.05,7.73,5.1,0.59,26.64
205,79.75,213.53,13.06,7.73,6.14,0.82,23.07
206,17.86,213.53,20.8,7.73,6.02,0.71,18.34
207,20.52,213.53,18.44,7.73,4.78,0.74,25.25
208,25.61,213.53,20.08,7.73,4.1,0.68,47.76
209,21.49,213.53,15.03,7.73,7.54,0.53,26.44
210,29.19,213.53,16.06,7.73,6.1,0.63,24.76
211,28.06,213.53,15.79,7.73,4.27,0.86,29.52
212,28.4,213.53,14.16,7.73,4.83,0.72,30.95
213,31.66,213.53,16.55,7.73,5.92,0.8,10.14
214,26.53,213.53,14.67,7.73,4.52,0.53,9.67
215,18.72,213.53,13.35,7.73,4.13,0.58,20.07
216,21.52,213.53,15.38,7.73,4.87,0.58,15.56
217,22.53,213.53,18.08,7.73,4.58,0.51,10.85
218,16.8,213.53,13.8,7.73,3.08,0.54,14.96
219,21.18,213.53,16.0,7.73,4.81,1.24,17.71
220,22.2,213.53,16.0,7.73,4.07,0.58,18.74
221,21.65,213.53,14.49,7.73,4.9,0.59,25.7
222,19.03,213.53,13.69,7.73,4.18,0.57,26.71
223,21.66,213.53,14.79,7.73,5.48,0.6,23.96
224,24.96,213.53,11.56,7.73,9.54,1.34,20.08
225,24.44,213.53,12.37,7.73,9.28,1.27,22.69
226,15.43,213.53,22.46,7.73,9.96,0.86,22.13
227,21.7,213.53,12.62,7.73,12.04,0.87,23.65
228,14.83,213.53,11.74,7.73,7.83,0.9,8.13
229,11.45,213.53,11.25,7.73,4.05,0.29,12.38
230,18.14,213.53,14.62,7.73,5.12,0.63,18.16
231,21.69,213.53,13.06,7.73,12.66,0.63,15.89
232,34.46,213.53,13.55,7.73,53.94,0.47,10.13
233,37.28,213.53,13.04,7.73,4.0,0.35,9.98
234,32.76,213.53,13.17,7.73,8.85,0.56,11.44
235,24.81,213.53,14.14,7.73,5.66,0.57,13.93
236,37.01,213.53,13.23,7.73,4.69,0.51,13.63
237,24.3,213.53,22.22,7.73,5.48,0.53,18.85
238,29.08,213.53,24.7,7.73,4.97,0.39,21.49
239,32.98,213.53,14.75,7.73,5.6,0.48,20.46
240,34.56,213.53,13.43,7.73,5.76,0.54,15.9
241,28.77,213.53,15.24,7.73,6.55,0.58,13.67
242,38.04,213.53,16.0,7.73,4.71,0.56,12.51
243,37.64,213.53,14.87,7.73,4.25,0.56,9.53
244,27.45,213.53,10.54,7.73,4.98,0.61,13.79
245,23.83,213.53,15.02,7.73,4.23,0.57,7.96
246,29.06,213.53,13.68,7.73,4.79,0.48,9.78
247,27.05,213.53,13.93,7.73,8.34,0.54,10.31
248,31.88,213.53,18.81,7.73,5.51,1.73,12.27
249,40.91,213.53,8.42,7.73,5.81,1.86,12.59
250,29.53,213.53,8.98,7.73,6.28,1.41,12.04
251,34.83,213.53,8.85,7.73,5.2,1.39,11.01
252,43.07,213.53,8.5,7.73,5.51,1.69,20.55
253,27.74,213.53,8.63,7.73,4.92,1.74,16.69
254,25.2,213.53,8.68,7.73,5.54,2.0,15.39
255,27.29,213.53,8.72,7.73,4.87,1.09,19.77
256,30.44,213.53,8.59,7.73,5.22,0.56,19.5
257,24.99,213.53,8.29,7.73,5.2,0.73,17.79
258,26.39,213.53,8.37,7.73,5.9,1.59,14.49
259,21.06,213.53,8.43,7.73,5.45,1.86,16.83
260,26.92,213.53,8.5,7.73,6.05,1.9,18.92
261,25.96,213.53,9.03,7.73,8.45,2.31,18.11
262,34.84,213.53,7.71,7.73,4.68,2.15,13.01
263,46.13,213.53,13.19,7.73,3.91,1.76,16.21
264,56.93,213.53,13.57,7.73,5.41,1.61,14.53
265,55.14,213.53,12.14,7.73,3.48,0.72,26.33
266,33.5,213.53,11.63,7.73,5.03,1.3,24.75
267,19.22,213.53,10.3,7.73,5.34,1.2,11.56
268,19.9,213.53,10.67,7.73,5.32,1.54,13.56
269,19.81,213.53,12.68,7.73,6.2,1.45,9.75
270,30.87,213.53,12.19,7.73,6.27,1.23,10.64
271,34.78,213.53,12.1,7.73,5.77,1.11,11.89
272,24.49,213.53,11.01,7.73,5.67,1.1,19.37
273,39.94,213.53,17.66,7.73,5.77,1.21,20.37
274,40.93,213.53,25.34,7.73,6.67,1.34,21.54
275,26.38,213.53,28.1,7.73,7.74,1.29,11.94
276,30.74,213.53,23.53,7.73,3.28,1.35,13.0
277,98.81,213.53,22.25,7.73,2.98,1.04,17.78
278,23.88,213.53,22.05,7.73,2.72,0.97,11.45
279,24.9,213.53,21.4,7.73,4.33,0.94,20.03
280,25.81,213.53,21.61,7.73,6.17,1.2,23.75
281,24.68,213.53,23.53,7.73,5.93,1.53,15.93
282,22.49,213.53,22.83,7.73,6.63,1.45,11.15
283,22.68,213.53,21.78,7.73,5.22,1.42,9.55
284,21.62,213.53,21.88,7.73,6.15,1.26,8.04
285,21.61,213.53,21.2,7.73,5.11,0.99,12.66
286,21.53,213.53,21.15,7.73,5.76,0.89,10.66
287,21.91,213.53,23.37,7.73,7.69,1.05,15.59
288,24.11,213.53,23.83,7.73,6.56,0.82,10.1
289,60.23,213.53,26.62,7.73,10.99,1.12,9.91
290,54.36,213.53,25.16,7.73,5.62,1.1,18.3
291,62.22,213.53,25.31,7.73,5.86,0.86,11.74
292,61.11,213.53,25.19,7.73,5.49,1.08,11.59
293,50.26,213.53,25.41,7.73,8.69,1.12,8.41
294,40.26,213.53,25.92,7.73,5.75,1.05,11.63
295,67.21,213.53,23.48,7.73,5.55,0.88,20.01
296,56.2,213.53,23.44,7.73,19.75,1.46,16.11
297,50.15,213.53,24.08,7.73,16.22,0.79,13.06
298,118.02,213.53,24.3,7.73,15.08,0.88,9.05
299,146.26,213.53,28.63,7.73,18.15,1.09,10.28
300,72.66,213.53,22.29,7.73,18.39,1.09,10.41
301,28.89,213.53,26.27,7.73,9.94,1.02,17.94
302,14.86,213.53,25.07,7.73,5.15,1.14,9.14
303,37.9,213.53,24.63,7.73,7.58,1.25,9.27
304,32.42,213.53,25.06,7.73,8.15,1.13,12.43
305,44.73,213.53,22.38,7.73,7.34,1.29,15.55
306,73.61,213.53,26.28,7.73,8.36,1.05,11.56
307,112.56,213.53,28.92,7.73,7.2,1.25,23.01
308,102.9,213.53,30.31,7.73,4.71,1.21,33.23
309,100.91,213.53,21.94,7.73,5.55,1.58,33.31
310,119.88,213.53,14.87,7.73,5.43,1.53,32.0
311,122.65,213.53,16.72,7.73,5.39,1.25,37.95
312,101.0,213.53,13.15,7.73,4.58,1.22,35.25
313,103.12,213.53,11.85,7.73,5.84,1.22,26.34
314,60.51,213.53,14.96,7.73,9.73,1.09,25.3
315,36.49,213.53,19.24,7.73,3.86,0.82,15.75
316,38.3,213.53,16.19,7.73,7.36,0.76,15.45
317,24.52,213.53,7.36,7.73,6.88,0.73,12.84
318,24.33,213.53,8.95,7.73,10.24,0.69,5.77
319,55.55,213.53,11.5,7.73,7.15,0.82,12.98
320,63.17,213.53,12.82,7.73,8.96,0.67,21.37
321,32.68,213.53,7.79,7.73,4.06,0.62,7.8
322,38.48,213.53,7.77,7.73,2.96,0.84,14.59
323,24.66,213.53,8.15,7.73,6.81,0.74,15.23
324,21.94,213.53,7.86,7.73,13.19,0.82,18.89
325,33.85,213.53,10.07,7.73,13.1,0.66,17.24
326,67.98,213.53,23.52,7.73,15.44,0.72,12.72
327,73.87,213.53,12.91,7.73,9.28,0.67,28.16
328,50.49,213.53,13.01,7.73,3.81,0.7,17.45
329,56.35,213.53,13.22,7.73,15.47,0.65,23.6
330,30.16,213.53,11.61,7.73,12.2,0.58,24.26
331,51.52,213.53,9.76,7.73,8.95,0.62,14.95
332,15.51,213.53,11.03,7.73,11.4,0.6,12.53
333,15.61,213.53,11.07,7.73,9.85,0.46,15.16
334,42.54,213.53,9.89,7.73,5.43,0.49,6.78
335,45.7,213.53,10.44,7.73,4.57,0.63,7.31
336,24.51,213.53,13.55,7.73,3.39,0.49,13.27
337,5.9,213.53,14.38,7.73,3.02,0.46,31.04
338,62.99,213.53,14.19,7.73,8.42,0.46,42.55
339,36.17,213.53,15.62,7.73,4.09,0.59,39.79
340,33.64,213.53,23.98,7.73,3.36,0.66,16.46
341,31.15,213.53,22.79,7.73,3.96,0.57,21.43
342,18.01,213.53,24.01,7.73,6.22,0.56,20.93
343,37.04,213.53,22.56,7.73,4.21,0.52,15.05
344,43.31,213.53,24.84,7.73,3.79,0.54,14.34
345,26.81,213.53,22.67,7.73,3.25,0.44,20.53
346,38.86,213.53,26.41,7.73,4.28,0.72,12.18
347,43.56,213.53,28.69,7.73,4.26,0.83,9.1
348,39.38,213.53,22.86,7.73,7.46,0.7,17.07
349,34.59,213.53,21.43,7.73,9.84,0.6,15.95
350,44.05,213.53,22.94,7.73,8.41,0.49,24.5
351,62.33,213.53,26.4,7.73,8.65,0.47,20.06
352,46.61,213.53,29.29,7.73,7.95,0.43,27.05
353,61.21,213.53,26.09,7.73,4.93,0.52,33.2
